,Frame,Object No,Object Type,DeltaX,DeltaY,Size
0,0,1,0,104,118,25
1,0,2,2,686,119,62
2,0,3,2,44,123,41
3,0,4,2,1,92,22
4,0,5,2,251,98,13
5,0,6,2,0,93,15
6,0,7,5,26,80,51
7,0,8,7,756,114,1494
8,1,1,0,113,118,31
9,1,2,2,712,118,58
10,1,3,2,46,124,58
11,1,4,2,251,97,13
12,1,5,2,0,94,15
13,1,6,2,1,94,21
14,1,7,5,26,80,51
15,1,8,7,767,99,1566
16,2,1,0,113,119,30
17,2,2,2,710,117,61
18,2,3,2,46,124,39
19,2,4,2,0,96,13
20,2,5,2,1,96,20
21,2,6,2,292,99,13
22,2,7,5,26,80,51
23,2,8,7,778,85,1631
24,3,1,0,113,119,30
25,3,2,2,710,117,61
26,3,3,2,46,124,39
27,3,4,2,0,96,13
28,3,5,2,1,96,20
29,3,6,2,292,99,13
30,3,7,5,26,80,51
31,3,8,7,778,85,1631
32,4,1,0,115,119,30
33,4,2,2,759,122,69
34,4,3,2,46,125,38
35,4,4,2,0,97,11
36,4,5,2,295,100,11
37,4,6,2,1,93,17
38,4,7,5,26,78,53
39,4,8,7,770,110,1531
40,5,1,0,117,118,32
41,5,2,2,806,123,76
42,5,3,2,46,126,42
43,5,4,2,0,95,11
44,5,5,2,295,100,16
45,5,6,5,26,78,53
46,5,7,7,715,107,1925
47,6,1,0,117,118,32
48,6,2,2,806,123,76
49,6,3,2,46,126,42
50,6,4,2,0,95,11
51,6,5,2,295,100,16
52,6,6,5,26,77,52
53,6,7,7,715,107,1925
